=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-08-22_04-05-25] ===

[04:05:25.409] [СИСТЕМА] ================================================================================
[04:05:25.409] [СИСТЕМА] СКАЛА / ДРЕГ v12.9.11.4.124.ai.Dyatlov A.S. ver — СТАРТ СКАНИРОВАНИЯ ПОТОКОВ
[04:05:25.409] [СИСТЕМА] ================================================================================
[04:05:25.409] [СИСТЕМА] Диапазон: 1 - 450 | Лог: Kub_kirill_4.txt | Плейлисты: Kub_kirill_4.m3u, Kub_kirill_4.m3u8
[04:05:25.409] [СИСТЕМА] ЭТАП 1: Инициализация массива каналов. Поток воркеров: 12.
[04:05:25.409] [СИСТЕМА] ЭТАП 3: Запуск глубокого анализа потоков, выхватывания имен, EPG, Ока-скорости и качества...
[04:05:25.445] [ДРЕГ-ЭТАП 3] ID 1: проверка потока
[04:05:25.445] [ДРЕГ-ЭТАП 3] ID 2: проверка потока
[04:05:25.446] [ДРЕГ-ЭТАП 3] ID 3: проверка потока
[04:05:25.447] [ДРЕГ-ЭТАП 3] ID 4: проверка потока
[04:05:25.448] [ДРЕГ-ЭТАП 3] ID 5: проверка потока
[04:05:25.448] [ДРЕГ-ЭТАП 3] ID 6: проверка потока
[04:05:25.449] [ДРЕГ-ЭТАП 3] ID 7: проверка потока
[04:05:25.449] [ДРЕГ-ЭТАП 3] ID 8: проверка потока
[04:05:25.450] [ДРЕГ-ЭТАП 3] ID 9: проверка потока
[04:05:25.450] [ДРЕГ-ЭТАП 3] ID 10: проверка потока
[04:05:25.451] [ДРЕГ-ЭТАП 3] ID 11: проверка потока
[04:05:25.452] [ДРЕГ-ЭТАП 3] ID 12: проверка потока
[04:05:25.528] [ДРЕГ-ЭТАП 3] ID 13: проверка потока
[04:05:25.531] [ДРЕГ-ЭТАП 3] ID 14: проверка потока
[04:05:25.531] [ДРЕГ-ЭТАП 3] ID 15: проверка потока
[04:05:25.534] [ДРЕГ-ЭТАП 3] ID 16: проверка потока
[04:05:25.536] [ДРЕГ-ЭТАП 3] ID 17: проверка потока
[04:05:25.539] [ДРЕГ-ЭТАП 3] ID 18: проверка потока
[04:05:25.542] [ДРЕГ-ЭТАП 3] ID 19: проверка потока
[04:05:25.543] [ДРЕГ-ЭТАП 3] ID 20: проверка потока
[04:05:25.547] [ДРЕГ-ЭТАП 3] ID 21: проверка потока
[04:05:25.549] [ДРЕГ-ЭТАП 3] ID 22: проверка потока
[04:05:25.551] [ДРЕГ-ЭТАП 3] ID 23: проверка потока
[04:05:25.552] [ДРЕГ-ЭТАП 3] ID 24: проверка потока
[04:05:25.563] [ДРЕГ-ЭТАП 3] ID 25: проверка потока
[04:05:25.565] [ДРЕГ-ЭТАП 3] ID 26: проверка потока
[04:05:25.580] [ДРЕГ-ЭТАП 3] ID 27: проверка потока
[04:05:25.586] [ДРЕГ-ЭТАП 3] ID 28: проверка потока
