number,filename,url,status,get_status,content_type,content_length,get_content_length,final_url,redirect_chain,server,via,response_bytes,elapsed_ms,classification,valid_m3u8,channel_name,channel_names,playlist_type,is_master,is_media,bandwidths,average_bandwidths,resolutions,codecs,frame_rates,audio_groups,video_groups,subtitles,target_duration,media_sequence,segment_count,segment_durations,uris,raw_tags,streams,error
1,1.m3u8,https://streaming.televizor-24-tochka.ru/live/1.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/1.m3u8,https://streaming.televizor-24-tochka.ru/live/1.m3u8,nginx,,896,1928.76,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,1-req_offset_28000000-req_window_0-3k_v5.m3u8; 1-req_offset_28000000-req_window_0-3k_v5.m3u8; 1-req_offset_28000000-req_window_0-1k_v5.m3u8; 1-req_offset_28000000-req_window_0-1k_v5.m3u8; 1-req_offset_28000000-req_window_0-2k_v5.m3u8; 1-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""1-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""1-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""1-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""1-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""1-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""1-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
2,2.m3u8,https://streaming.televizor-24-tochka.ru/live/2.m3u8,404,404,text/plain,62,62,https://streaming.televizor24.cc/live/2.m3u8,https://streaming.televizor-24-tochka.ru/live/2.m3u8,nginx,,62,2710.96,NOT_FOUND,False,,,,False,False,,,,,,,,,,,0,,,,[],
3,3.m3u8,https://streaming.televizor-24-tochka.ru/live/3.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/3.m3u8,https://streaming.televizor-24-tochka.ru/live/3.m3u8,nginx,,896,1713.19,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,3-req_offset_28000000-req_window_0-3k_v5.m3u8; 3-req_offset_28000000-req_window_0-3k_v5.m3u8; 3-req_offset_28000000-req_window_0-1k_v5.m3u8; 3-req_offset_28000000-req_window_0-1k_v5.m3u8; 3-req_offset_28000000-req_window_0-2k_v5.m3u8; 3-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""3-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""3-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""3-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""3-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""3-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""3-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
4,4.m3u8,https://streaming.televizor-24-tochka.ru/live/4.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/4.m3u8,https://streaming.televizor-24-tochka.ru/live/4.m3u8,nginx,,896,1730.32,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,4-req_offset_28000000-req_window_0-3k_v5.m3u8; 4-req_offset_28000000-req_window_0-3k_v5.m3u8; 4-req_offset_28000000-req_window_0-1k_v5.m3u8; 4-req_offset_28000000-req_window_0-1k_v5.m3u8; 4-req_offset_28000000-req_window_0-2k_v5.m3u8; 4-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""4-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""4-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""4-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""4-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""4-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""4-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
5,5.m3u8,https://streaming.televizor-24-tochka.ru/live/5.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/5.m3u8,https://streaming.televizor-24-tochka.ru/live/5.m3u8,nginx,,896,1221.85,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,5-req_offset_28000000-req_window_0-3k_v5.m3u8; 5-req_offset_28000000-req_window_0-3k_v5.m3u8; 5-req_offset_28000000-req_window_0-1k_v5.m3u8; 5-req_offset_28000000-req_window_0-1k_v5.m3u8; 5-req_offset_28000000-req_window_0-2k_v5.m3u8; 5-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""5-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""5-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""5-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""5-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""5-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""5-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
6,6.m3u8,https://streaming.televizor-24-tochka.ru/live/6.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/6.m3u8,https://streaming.televizor-24-tochka.ru/live/6.m3u8,nginx,,896,718.39,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,6-req_offset_28000000-req_window_0-3k_v5.m3u8; 6-req_offset_28000000-req_window_0-3k_v5.m3u8; 6-req_offset_28000000-req_window_0-1k_v5.m3u8; 6-req_offset_28000000-req_window_0-1k_v5.m3u8; 6-req_offset_28000000-req_window_0-2k_v5.m3u8; 6-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""6-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""6-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""6-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""6-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""6-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""6-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
7,7.m3u8,https://streaming.televizor-24-tochka.ru/live/7.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/7.m3u8,https://streaming.televizor-24-tochka.ru/live/7.m3u8,nginx,,896,1378.6,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,7-req_offset_28000000-req_window_0-3k_v5.m3u8; 7-req_offset_28000000-req_window_0-3k_v5.m3u8; 7-req_offset_28000000-req_window_0-1k_v5.m3u8; 7-req_offset_28000000-req_window_0-1k_v5.m3u8; 7-req_offset_28000000-req_window_0-2k_v5.m3u8; 7-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""7-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""7-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""7-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""7-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""7-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""7-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
8,8.m3u8,https://streaming.televizor-24-tochka.ru/live/8.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/8.m3u8,https://streaming.televizor-24-tochka.ru/live/8.m3u8,nginx,,896,719.5,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,8-req_offset_28000000-req_window_0-3k_v5.m3u8; 8-req_offset_28000000-req_window_0-3k_v5.m3u8; 8-req_offset_28000000-req_window_0-1k_v5.m3u8; 8-req_offset_28000000-req_window_0-1k_v5.m3u8; 8-req_offset_28000000-req_window_0-2k_v5.m3u8; 8-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""8-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""8-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""8-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""8-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""8-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""8-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
9,9.m3u8,https://streaming.televizor-24-tochka.ru/live/9.m3u8,200,200,application/vnd.apple.mpegurl,896,896,https://streaming.televizor24.cc/live/9.m3u8,https://streaming.televizor-24-tochka.ru/live/9.m3u8,nginx,,896,1437.12,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,9-req_offset_28000000-req_window_0-3k_v5.m3u8; 9-req_offset_28000000-req_window_0-3k_v5.m3u8; 9-req_offset_28000000-req_window_0-1k_v5.m3u8; 9-req_offset_28000000-req_window_0-1k_v5.m3u8; 9-req_offset_28000000-req_window_0-2k_v5.m3u8; 9-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""9-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""9-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""9-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""9-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""9-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""9-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
10,10.m3u8,https://streaming.televizor-24-tochka.ru/live/10.m3u8,200,200,application/vnd.apple.mpegurl,902,902,https://streaming.televizor24.cc/live/10.m3u8,https://streaming.televizor-24-tochka.ru/live/10.m3u8,nginx,,902,1338.79,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,,10-req_offset_28000000-req_window_0-3k_v5.m3u8; 10-req_offset_28000000-req_window_0-3k_v5.m3u8; 10-req_offset_28000000-req_window_0-1k_v5.m3u8; 10-req_offset_28000000-req_window_0-1k_v5.m3u8; 10-req_offset_28000000-req_window_0-2k_v5.m3u8; 10-req_offset_28000000-req_window_0-2k_v5.m3u8,"#EXT-X-VERSION:5 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=446000,CODECS=""mp4a.40.2,avc1.42C01F"",RESOLUTION=426x240 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=2096000,CODECS=""mp4a.40.2,avc1.4D4028"",RESOLUTION=1024x576 | #EXT-X-STREAM-INF:PROGRAM-ID=1,BANDWIDTH=796000,CODECS=""mp4a.40.2,avc1.4D401F"",RESOLUTION=640x360 | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=6318,CODECS=""avc1.42C01F"",RESOLUTION=426x240,URI=""10-req_offset_28000000-req_window_0-iframes-vid-3k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=18803,CODECS=""avc1.4D4028"",RESOLUTION=1024x576,URI=""10-req_offset_28000000-req_window_0-iframes-vid-1k_v5.m3u8"" | #EXT-X-I-FRAME-STREAM-INF:BANDWIDTH=8188,CODECS=""avc1.4D401F"",RESOLUTION=640x360,URI=""10-req_offset_28000000-req_window_0-iframes-vid-2k_v5.m3u8""","[{""bandwidth"": ""446000"", ""average_bandwidth"": null, ""resolution"": ""426x240"", ""codecs"": ""mp4a.40.2,avc1.42C01F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""10-req_offset_28000000-req_window_0-3k_v5.m3u8""}, {""bandwidth"": ""2096000"", ""average_bandwidth"": null, ""resolution"": ""1024x576"", ""codecs"": ""mp4a.40.2,avc1.4D4028"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""10-req_offset_28000000-req_window_0-1k_v5.m3u8""}, {""bandwidth"": ""796000"", ""average_bandwidth"": null, ""resolution"": ""640x360"", ""codecs"": ""mp4a.40.2,avc1.4D401F"", ""frame_rate"": null, ""audio"": null, ""video"": null, ""subtitles"": null, ""closed_captions"": null, ""uri"": ""10-req_offset_28000000-req_window_0-2k_v5.m3u8""}]",
