=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-08-16_18-21-01] ===

[18:21:01.054] [СИСТЕМА] ================================================================================
[18:21:01.054] [СИСТЕМА] СКАЛА / ДРЕГ v12.9.11.4.124.ai.Dyatlov A.S. ver — СТАРТ
[18:21:01.054] [СИСТЕМА] ================================================================================
[18:21:01.054] [СИСТЕМА] Выходные файлы: Лог -> Kub_kirill_2.txt | Плейлисты -> Kub_kirill_2.m3u, Kub_kirill_2.m3u8
[18:21:01.055] [СИСТЕМА] ЭТАП 1: Начало выполнения генерации потоков...
[18:21:01.055] [ДРЕГ-ЭТАП 1] Инициализация массива на 400 каналов. Пул потоков: 20 воркеров.
[18:21:01.055] [СИСТЕМА] ЭТАП 3: Начало поиска метаданных и опроса потоков...
[18:21:01.089] [ДРЕГ-ЭТАП 3] Поток канала 1: запуск запроса метаданных из потока
[18:21:01.089] [ДРЕГ-ЭТАП 3] Поток канала 2: запуск запроса метаданных из потока
[18:21:01.089] [ДРЕГ-ЭТАП 3] Поток канала 3: запуск запроса метаданных из потока
[18:21:01.091] [ДРЕГ-ЭТАП 3] Поток канала 5: запуск запроса метаданных из потока
[18:21:01.091] [ДРЕГ-ЭТАП 3] Поток канала 6: запуск запроса метаданных из потока
[18:21:01.092] [ДРЕГ-ЭТАП 3] Поток канала 7: запуск запроса метаданных из потока
[18:21:01.093] [ДРЕГ-ЭТАП 3] Поток канала 8: запуск запроса метаданных из потока
[18:21:01.091] [ДРЕГ-ЭТАП 3] Поток канала 4: запуск запроса метаданных из потока
[18:21:01.093] [ДРЕГ-ЭТАП 3] Поток канала 9: запуск запроса метаданных из потока
[18:21:01.095] [ДРЕГ-ЭТАП 3] Поток канала 10: запуск запроса метаданных из потока
[18:21:01.095] [ДРЕГ-ЭТАП 3] Поток канала 11: запуск запроса метаданных из потока
[18:21:01.096] [ДРЕГ-ЭТАП 3] Поток канала 12: запуск запроса метаданных из потока
[18:21:01.097] [ДРЕГ-ЭТАП 3] Поток канала 13: запуск запроса метаданных из потока
[18:21:01.097] [ДРЕГ-ЭТАП 3] Поток канала 14: запуск запроса метаданных из потока
[18:21:01.098] [ДРЕГ-ЭТАП 3] Поток канала 15: запуск запроса метаданных из потока
[18:21:01.099] [ДРЕГ-ЭТАП 3] Поток канала 17: запуск запроса метаданных из потока
[18:21:01.098] [ДРЕГ-ЭТАП 3] Поток канала 16: запуск запроса метаданных из потока
[18:21:01.100] [ДРЕГ-ЭТАП 3] Поток канала 18: запуск запроса метаданных из потока
[18:21:01.117] [ДРЕГ-ЭТАП 3] Поток канала 19: запуск запроса метаданных из потока
[18:21:01.118] [ДРЕГ-ЭТАП 3] Поток канала 20: запуск запроса метаданных из потока
[18:21:01.303] [ДРЕГ-ЭТАП 4] Поток канала 20: метаданные получены -> Канал 20
[18:21:01.304] [ДРЕГ-ЭТАП 3] Поток канала 21: запуск запроса метаданных из потока
[18:21:01.306] [ДРЕГ-ЭТАП 4] Поток канала 3: метаданные получены -> Канал 3
[18:21:01.309] [ДРЕГ-ЭТАП 3] Поток канала 22: запуск запроса метаданных из потока
[18:21:01.310] [ДРЕГ-ЭТАП 4] Поток канала 14: метаданные получены -> Канал 14
[18:21:01.311] [ДРЕГ-ЭТАП 4] Поток канала 9: метаданные получены -> Канал 9
[18:21:01.311] [ДРЕГ-ЭТАП 3] Поток канала 24: запуск запроса метаданных из потока
[18:21:01.311] [ДРЕГ-ЭТАП 3] Поток канала 23: запуск запроса метаданных из потока
[18:21:01.315] [ДРЕГ-ЭТАП 4] Поток канала 6: метаданные получены -> Канал 6
[18:21:01.315] [ДРЕГ-ЭТАП 3] Поток канала 25: запуск запроса метаданных из потока
[18:21:01.317] [ДРЕГ-ЭТАП 4] Поток канала 13: метаданные получены -> Канал 13
[18:21:01.317] [ДРЕГ-ЭТАП 3] Поток канала 26: запуск запроса метаданных из потока
[18:21:01.319] [ДРЕГ-ЭТАП 4] Поток канала 12: метаданные получены -> Канал 12
[18:21:01.320] [ДРЕГ-ЭТАП 4] Поток канала 4: метаданные получены -> Канал 4
[18:21:01.320] [ДРЕГ-ЭТАП 4] Поток канала 17: метаданные получены -> Канал 17
[18:21:01.320] [ДРЕГ-ЭТАП 3] Поток канала 28: запуск запроса метаданных из потока
[18:21:01.320] [ДРЕГ-ЭТАП 3] Поток канала 29: запуск запроса метаданных из потока
[18:21:01.320] [ДРЕГ-ЭТАП 3] Поток канала 27: запуск запроса метаданных из потока
[18:21:01.323] [ДРЕГ-ЭТАП 4] Поток канала 1: метаданные получены -> Канал 1
[18:21:01.323] [ДРЕГ-ЭТАП 3] Поток канала 30: запуск запроса метаданных из потока
[18:21:01.324] [ДРЕГ-ЭТАП 4] Поток канала 10: метаданные получены -> Канал 10
[18:21:01.324] [ДРЕГ-ЭТАП 3] Поток канала 31: запуск запроса метаданных из потока
[18:21:01.325] [ДРЕГ-ЭТАП 4] Поток канала 2: метаданные получены -> Канал 2
[18:21:01.325] [ДРЕГ-ЭТАП 3] Поток канала 32: запуск запроса метаданных из потока
[18:21:01.326] [ДРЕГ-ЭТАП 4] Поток канала 15: метаданные получены -> Канал 15
[18:21:01.326] [ДРЕГ-ЭТАП 3] Поток канала 33: запуск запроса метаданных из потока
[18:21:01.330] [ДРЕГ-ЭТАП 4] Поток канала 7: метаданные получены -> Канал 7
[18:21:01.330] [ДРЕГ-ЭТАП 3] Поток канала 34: запуск запроса метаданных из потока
[18:21:01.331] [ДРЕГ-ЭТАП 4] Поток канала 5: метаданные получены -> Канал 5
[18:21:01.331] [ДРЕГ-ЭТАП 3] Поток канала 35: запуск запроса метаданных из потока
[18:21:01.332] [ДРЕГ-ЭТАП 4] Поток канала 19: метаданные получены -> Канал 19
[18:21:01.332] [ДРЕГ-ЭТАП 3] Поток канала 36: запуск запроса метаданных из потока
[18:21:01.335] [ДРЕГ-ЭТАП 4] Поток канала 18: метаданные получены -> Канал 18
[18:21:01.335] [ДРЕГ-ЭТАП 3] Поток канала 37: запуск запроса метаданных из потока
[18:21:01.336] [ДРЕГ-ЭТАП 4] Поток канала 11: метаданные получены -> Канал 11
[18:21:01.336] [ДРЕГ-ЭТАП 3] Поток канала 38: запуск запроса метаданных из потока
[18:21:01.338] [ДРЕГ-ЭТАП 4] Поток канала 8: метаданные получены -> Канал 8
[18:21:01.338] [ДРЕГ-ЭТАП 3] Поток канала 39: запуск запроса метаданных из потока
[18:21:01.339] [ДРЕГ-ЭТАП 4] Поток канала 16: метаданные получены -> Канал 16
[18:21:01.339] [ДРЕГ-ЭТАП 3] Поток канала 40: запуск запроса метаданных из потока
[18:21:01.419] [ДРЕГ-ЭТАП 4] Поток канала 22: метаданные получены -> Канал 22
[18:21:01.419] [ДРЕГ-ЭТАП 3] Поток канала 41: запуск запроса метаданных из потока
[18:21:01.429] [ДРЕГ-ЭТАП 4] Поток канала 23: метаданные получены -> Канал 23
[18:21:01.429] [ДРЕГ-ЭТАП 3] Поток канала 42: запуск запроса метаданных из потока
[18:21:01.436] [ДРЕГ-ЭТАП 4] Поток канала 32: метаданные получены -> Канал 32
[18:21:01.436] [ДРЕГ-ЭТАП 3] Поток канала 43: запуск запроса метаданных из потока
[18:21:01.439] [ДРЕГ-ЭТАП 4] Поток канала 21: метаданные получены -> Канал 21
[18:21:01.439] [ДРЕГ-ЭТАП 3] Поток канала 44: запуск запроса метаданных из потока
[18:21:01.440] [ДРЕГ-ЭТАП 4] Поток канала 35: метаданные получены -> Канал 35
[18:21:01.440] [ДРЕГ-ЭТАП 3] Поток канала 45: запуск запроса метаданных из потока
[18:21:01.444] [ДРЕГ-ЭТАП 4] Поток канала 25: метаданные получены -> Канал 25
[18:21:01.444] [ДРЕГ-ЭТАП 3] Поток канала 46: запуск запроса метаданных из потока
[18:21:01.444] [ДРЕГ-ЭТАП 4] Поток канала 33: метаданные получены -> Канал 33
[18:21:01.445] [ДРЕГ-ЭТАП 3] Поток канала 47: запуск запроса метаданных из потока
[18:21:01.446] [ДРЕГ-ЭТАП 4] Поток канала 31: метаданные получены -> Канал 31
[18:21:01.446] [ДРЕГ-ЭТАП 3] Поток канала 48: запуск запроса метаданных из потока
[18:21:01.446] [ДРЕГ-ЭТАП 4] Поток канала 29: метаданные получены -> Канал 29
[18:21:01.447] [ДРЕГ-ЭТАП 3] Поток канала 49: запуск запроса метаданных из потока
[18:21:01.448] [ДРЕГ-ЭТАП 4] Поток канала 28: метаданные получены -> Канал 28
[18:21:01.448] [ДРЕГ-ЭТАП 3] Поток канала 50: запуск запроса метаданных из потока
[18:21:01.451] [ДРЕГ-ЭТАП 4] Поток канала 37: метаданные получены -> Канал 37
[18:21:01.452] [ДРЕГ-ЭТАП 4] Поток канала 34: метаданные получены -> Канал 34
[18:21:01.452] [ДРЕГ-ЭТАП 3] Поток канала 51: запуск запроса метаданных из потока
[18:21:01.452] [ДРЕГ-ЭТАП 3] Поток канала 52: запуск запроса метаданных из потока
[18:21:01.453] [ДРЕГ-ЭТАП 4] Поток канала 24: метаданные получены -> Канал 24
[18:21:01.453] [ДРЕГ-ЭТАП 3] Поток канала 53: запуск запроса метаданных из потока
[18:21:01.455] [ДРЕГ-ЭТАП 4] Поток канала 40: метаданные получены -> Канал 40
[18:21:01.455] [ДРЕГ-ЭТАП 3] Поток канала 54: запуск запроса метаданных из потока
[18:21:01.456] [ДРЕГ-ЭТАП 4] Поток канала 26: метаданные получены -> Канал 26
[18:21:01.456] [ДРЕГ-ЭТАП 3] Поток канала 55: запуск запроса метаданных из потока
[18:21:01.457] [ДРЕГ-ЭТАП 4] Поток канала 36: метаданные получены -> Канал 36
[18:21:01.457] [ДРЕГ-ЭТАП 3] Поток канала 56: запуск запроса метаданных из потока
[18:21:01.461] [ДРЕГ-ЭТАП 4] Поток канала 38: метаданные получены -> Канал 38
[18:21:01.461] [ДРЕГ-ЭТАП 3] Поток канала 57: запуск запроса метаданных из потока
[18:21:01.484] [ДРЕГ-ЭТАП 4] Поток канала 27: метаданные получены -> Канал 27
[18:21:01.484] [ДРЕГ-ЭТАП 3] Поток канала 58: запуск запроса метаданных из потока
[18:21:01.495] [ДРЕГ-ЭТАП 4] Поток канала 39: метаданные получены -> Канал 39
[18:21:01.495] [ДРЕГ-ЭТАП 3] Поток канала 59: запуск запроса метаданных из потока
[18:21:01.530] [ДРЕГ-ЭТАП 4] Поток канала 30: метаданные получены -> Канал 30
[18:21:01.530] [ДРЕГ-ЭТАП 3] Поток канала 60: запуск запроса метаданных из потока
[18:21:01.534] [ДРЕГ-ЭТАП 4] Поток канала 41: метаданные получены -> Канал 41
[18:21:01.535] [ДРЕГ-ЭТАП 3] Поток канала 61: запуск запроса метаданных из потока
[18:21:01.545] [ДРЕГ-ЭТАП 4] Поток канала 43: метаданные получены -> Канал 43
[18:21:01.545] [ДРЕГ-ЭТАП 3] Поток канала 62: запуск запроса метаданных из потока
[18:21:01.553] [ДРЕГ-ЭТАП 4] Поток канала 44: метаданные получены -> Канал 44
[18:21:01.553] [ДРЕГ-ЭТАП 3] Поток канала 63: запуск запроса метаданных из потока
[18:21:01.554] [ДРЕГ-ЭТАП 4] Поток канала 45: метаданные получены -> Канал 45
[18:21:01.554] [ДРЕГ-ЭТАП 3] Поток канала 64: запуск запроса метаданных из потока
[18:21:01.557] [ДРЕГ-ЭТАП 4] Поток канала 46: метаданные получены -> Канал 46
[18:21:01.557] [ДРЕГ-ЭТАП 3] Поток канала 65: запуск запроса метаданных из потока
[18:21:01.560] [ДРЕГ-ЭТАП 4] Поток канала 51: метаданные получены -> Канал 51
[18:21:01.560] [ДРЕГ-ЭТАП 3] Поток канала 66: запуск запроса метаданных из потока
[18:21:01.561] [ДРЕГ-ЭТАП 4] Поток канала 53: метаданные получены -> Канал 53
