=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-09-01_06-33-46] ===

[06:33:46.907] [СИСТЕМА] ================================================================================
[06:33:46.907] [СИСТЕМА] СКАЛА / ДРЕГ v12.9.11.4.124.ai.Dyatlov A.S. ver — СТАРТ СКАНИРОВАНИЯ ПОТОКОВ
[06:33:46.907] [СИСТЕМА] ================================================================================
[06:33:46.907] [СИСТЕМА] Диапазон: 1 - 450 | Лог: Kub_kirill_5.txt | Плейлисты: Kub_kirill_5.m3u, Kub_kirill_5.m3u8
[06:33:46.907] [СИСТЕМА] ЭТАП 1: Инициализация массива каналов. Поток воркеров: 12.
[06:33:46.907] [СИСТЕМА] ЭТАП 3: Запуск глубокого анализа потоков, выхватывания имен, EPG, Ока-скорости и качества...
[06:33:46.955] [ДРЕГ-ЭТАП 3] ID 1: проверка потока
[06:33:46.955] [ДРЕГ-ЭТАП 3] ID 2: проверка потока
[06:33:46.956] [ДРЕГ-ЭТАП 3] ID 3: проверка потока
[06:33:46.956] [ДРЕГ-ЭТАП 3] ID 4: проверка потока
[06:33:46.957] [ДРЕГ-ЭТАП 3] ID 5: проверка потока
[06:33:46.957] [ДРЕГ-ЭТАП 3] ID 6: проверка потока
[06:33:46.957] [ДРЕГ-ЭТАП 3] ID 7: проверка потока
[06:33:46.958] [ДРЕГ-ЭТАП 3] ID 8: проверка потока
[06:33:46.958] [ДРЕГ-ЭТАП 3] ID 9: проверка потока
[06:33:46.958] [ДРЕГ-ЭТАП 3] ID 10: проверка потока
[06:33:46.959] [ДРЕГ-ЭТАП 3] ID 11: проверка потока
[06:33:46.959] [ДРЕГ-ЭТАП 3] ID 12: проверка потока
[06:33:47.183] [ДРЕГ-ЭТАП 3] ID 13: проверка потока
[06:33:47.184] [ДРЕГ-ЭТАП 3] ID 14: проверка потока
[06:33:47.184] [ДРЕГ-ЭТАП 3] ID 15: проверка потока
[06:33:47.196] [ДРЕГ-ЭТАП 3] ID 16: проверка потока
[06:33:47.196] [ДРЕГ-ЭТАП 3] ID 17: проверка потока
[06:33:47.201] [ДРЕГ-ЭТАП 3] ID 18: проверка потока
[06:33:47.204] [ДРЕГ-ЭТАП 3] ID 19: проверка потока
[06:33:47.204] [ДРЕГ-ЭТАП 3] ID 20: проверка потока
[06:33:47.205] [ДРЕГ-ЭТАП 3] ID 21: проверка потока
[06:33:47.206] [ДРЕГ-ЭТАП 3] ID 22: проверка потока
[06:33:47.253] [ДРЕГ-ЭТАП 3] ID 23: проверка потока
[06:33:47.364] [ДРЕГ-ЭТАП 3] ID 24: проверка потока
[06:33:47.370] [ДРЕГ-ЭТАП 3] ID 25: проверка потока
[06:33:47.373] [ДРЕГ-ЭТАП 3] ID 26: проверка потока
[06:33:47.386] [ДРЕГ-ЭТАП 3] ID 27: проверка потока
[06:33:47.405] [ДРЕГ-ЭТАП 3] ID 28: проверка потока
[06:33:47.408] [ДРЕГ-ЭТАП 3] ID 29: проверка потока
[06:33:47.408] [ДРЕГ-ЭТАП 3] ID 30: проверка потока
[06:33:47.452] [ДРЕГ-ЭТАП 3] ID 31: проверка потока
[06:33:47.467] [ДРЕГ-ЭТАП 3] ID 32: проверка потока
[06:33:47.567] [ДРЕГ-ЭТАП 3] ID 33: проверка потока
[06:33:47.572] [ДРЕГ-ЭТАП 3] ID 34: проверка потока
[06:33:47.572] [ДРЕГ-ЭТАП 3] ID 35: проверка потока
