number,filename,url,status,content_type,content_length,final_url,redirect_chain,server,via,response_bytes,elapsed_ms,classification,valid_m3u8,channel_name,channel_names,playlist_type,is_master,is_media,bandwidths,resolutions,codecs,frame_rates,audio_groups,video_groups,subtitles,target_duration,media_sequence,segment_count,uris,error
1,1.m3u8,https://streaming.televizor-24-tochka.ru/live/1.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/1.m3u8,https://streaming.televizor-24-tochka.ru/live/1.m3u8,nginx,,896,1798.76,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,1-req_offset_28000000-req_window_0-3k_v5.m3u8; 1-req_offset_28000000-req_window_0-3k_v5.m3u8; 1-req_offset_28000000-req_window_0-1k_v5.m3u8; 1-req_offset_28000000-req_window_0-1k_v5.m3u8; 1-req_offset_28000000-req_window_0-2k_v5.m3u8; 1-req_offset_28000000-req_window_0-2k_v5.m3u8,
2,2.m3u8,https://streaming.televizor-24-tochka.ru/live/2.m3u8,,,,,,,,0,10131.78,TIMEOUT,False,,,,,,,,,,,,,,,,,Request timeout
3,3.m3u8,https://streaming.televizor-24-tochka.ru/live/3.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/3.m3u8,https://streaming.televizor-24-tochka.ru/live/3.m3u8,nginx,,896,2366.21,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,3-req_offset_28000000-req_window_0-3k_v5.m3u8; 3-req_offset_28000000-req_window_0-3k_v5.m3u8; 3-req_offset_28000000-req_window_0-1k_v5.m3u8; 3-req_offset_28000000-req_window_0-1k_v5.m3u8; 3-req_offset_28000000-req_window_0-2k_v5.m3u8; 3-req_offset_28000000-req_window_0-2k_v5.m3u8,
4,4.m3u8,https://streaming.televizor-24-tochka.ru/live/4.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/4.m3u8,https://streaming.televizor-24-tochka.ru/live/4.m3u8,nginx,,896,507.74,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,4-req_offset_28000000-req_window_0-3k_v5.m3u8; 4-req_offset_28000000-req_window_0-3k_v5.m3u8; 4-req_offset_28000000-req_window_0-1k_v5.m3u8; 4-req_offset_28000000-req_window_0-1k_v5.m3u8; 4-req_offset_28000000-req_window_0-2k_v5.m3u8; 4-req_offset_28000000-req_window_0-2k_v5.m3u8,
5,5.m3u8,https://streaming.televizor-24-tochka.ru/live/5.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/5.m3u8,https://streaming.televizor-24-tochka.ru/live/5.m3u8,nginx,,896,1265.25,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,5-req_offset_28000000-req_window_0-3k_v5.m3u8; 5-req_offset_28000000-req_window_0-3k_v5.m3u8; 5-req_offset_28000000-req_window_0-1k_v5.m3u8; 5-req_offset_28000000-req_window_0-1k_v5.m3u8; 5-req_offset_28000000-req_window_0-2k_v5.m3u8; 5-req_offset_28000000-req_window_0-2k_v5.m3u8,
6,6.m3u8,https://streaming.televizor-24-tochka.ru/live/6.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/6.m3u8,https://streaming.televizor-24-tochka.ru/live/6.m3u8,nginx,,896,1265.99,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,6-req_offset_28000000-req_window_0-3k_v5.m3u8; 6-req_offset_28000000-req_window_0-3k_v5.m3u8; 6-req_offset_28000000-req_window_0-1k_v5.m3u8; 6-req_offset_28000000-req_window_0-1k_v5.m3u8; 6-req_offset_28000000-req_window_0-2k_v5.m3u8; 6-req_offset_28000000-req_window_0-2k_v5.m3u8,
7,7.m3u8,https://streaming.televizor-24-tochka.ru/live/7.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/7.m3u8,https://streaming.televizor-24-tochka.ru/live/7.m3u8,nginx,,896,507.07,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,7-req_offset_28000000-req_window_0-3k_v5.m3u8; 7-req_offset_28000000-req_window_0-3k_v5.m3u8; 7-req_offset_28000000-req_window_0-1k_v5.m3u8; 7-req_offset_28000000-req_window_0-1k_v5.m3u8; 7-req_offset_28000000-req_window_0-2k_v5.m3u8; 7-req_offset_28000000-req_window_0-2k_v5.m3u8,
8,8.m3u8,https://streaming.televizor-24-tochka.ru/live/8.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/8.m3u8,https://streaming.televizor-24-tochka.ru/live/8.m3u8,nginx,,896,1263.7,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,8-req_offset_28000000-req_window_0-3k_v5.m3u8; 8-req_offset_28000000-req_window_0-3k_v5.m3u8; 8-req_offset_28000000-req_window_0-1k_v5.m3u8; 8-req_offset_28000000-req_window_0-1k_v5.m3u8; 8-req_offset_28000000-req_window_0-2k_v5.m3u8; 8-req_offset_28000000-req_window_0-2k_v5.m3u8,
9,9.m3u8,https://streaming.televizor-24-tochka.ru/live/9.m3u8,200,application/vnd.apple.mpegurl,896,https://streaming.televizor24.cc/live/9.m3u8,https://streaming.televizor-24-tochka.ru/live/9.m3u8,nginx,,896,505.2,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,9-req_offset_28000000-req_window_0-3k_v5.m3u8; 9-req_offset_28000000-req_window_0-3k_v5.m3u8; 9-req_offset_28000000-req_window_0-1k_v5.m3u8; 9-req_offset_28000000-req_window_0-1k_v5.m3u8; 9-req_offset_28000000-req_window_0-2k_v5.m3u8; 9-req_offset_28000000-req_window_0-2k_v5.m3u8,
10,10.m3u8,https://streaming.televizor-24-tochka.ru/live/10.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/10.m3u8,https://streaming.televizor-24-tochka.ru/live/10.m3u8,nginx,,902,685.12,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,10-req_offset_28000000-req_window_0-3k_v5.m3u8; 10-req_offset_28000000-req_window_0-3k_v5.m3u8; 10-req_offset_28000000-req_window_0-1k_v5.m3u8; 10-req_offset_28000000-req_window_0-1k_v5.m3u8; 10-req_offset_28000000-req_window_0-2k_v5.m3u8; 10-req_offset_28000000-req_window_0-2k_v5.m3u8,
